topic_id;label;terms
T00;Ankle / Balance / Control;ankle, balance, control, leg, single, proprioception, knee, important, training, valgus
T01;Injuries / Injury / Ankle;injuries, injury, ankle, studies, return, risk, ligament, factors, sport, based
T02;Group / Ankle / Knee;group, ankle, knee, training, studies, results, patients, strength, repair, injuries
T03;Cpg / Sports / Physical;cpg, sports, physical, therapy, practice, evidence, clinical, orthopaedic, health, based
T04;Meniscus / Injuries / Patellar;meniscus, injuries, patellar, strain, athletes, injury, therapy, return, tendon, risk
